97,1140.00,21.40,915.81,60.65,21.50,914.95,29936,-1.51,0.36,9.65,0.07,0.04,-0.01,0.19,0.00,0.00,11.25,-1.25,-17.75,4.19,-9.19,1.69,1.00,0.02,0.08,-0.04,2020,8,2,0,1,53,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,0,1,0,a,-40.51,21.93,a,-40.51,21.05,a,79.44,20.56,a,-36.30,20.85,fin
98,1130.00,21.42,915.78,60.63,21.51,914.94,29947,-1.47,0.28,9.63,0.08,0.00,-0.04,-0.69,-0.50,-0.06,16.38,0.19,-17.75,4.12,-9.12,1.69,1.00,0.02,0.08,-0.04,2020,8,2,0,1,54,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,0,1,0,a,-41.56,22.03,a,-40.51,21.05,a,79.44,20.56,a,-33.14,20.95,fin
100,1120.00,21.43,915.81,60.69,21.51,914.95,29961,-1.47,0.36,9.67,0.10,0.10,0.00,-0.31,0.06,0.00,16.75,-0.50,-17.88,4.12,-9.19,1.50,1.00,0.02,0.08,-0.04,2020,8,2,0,1,56,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,0,1,0,a,-40.51,22.03,a,-40.51,21.05,a,79.44,20.56,a,-34.20,20.85,fin
102,1110.00,21.43,915.79,60.85,21.53,914.95,29970,-1.45,0.38,9.68,0.11,0.12,0.00,0.25,0.06,0.00,16.06,-0.50,-17.50,4.12,-9.19,1.44,1.00,0.02,0.08,-0.04,2020,8,2,0,1,58,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,0,1,0,a,-40.51,21.93,a,-40.51,21.05,a,81.54,20.56,a,-37.35,20.95,fin
104,1100.00,21.45,915.80,60.86,21.53,914.94,29983,-1.50,0.33,9.67,0.07,0.08,0.00,-0.44,-0.12,-0.06,15.00,-0.75,-16.75,4.12,-9.19,1.44,1.00,0.02,0.08,-0.04,2020,8,2,0,2,0,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,0,1,0,a,-41.56,22.03,a,-39.46,21.05,a,79.44,20.56,a,-36.30,20.85,fin
108,1090.00,21.45,915.79,60.61,21.53,914.93,30002,-1.46,0.27,9.69,0.08,0.04,0.01,-0.19,0.19,0.00,15.69,0.25,-18.25,4.12,-9.06,1.31,1.00,0.01,0.08,-0.04,2020,8,2,0,2,4,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,1,0,0,a,-41.56,21.93,a,-39.46,21.05,a,81.54,20.56,a,-39.46,20.95,fin
110,1080.00,21.49,915.78,60.97,21.56,914.94,30017,-1.43,0.34,9.66,0.12,0.12,-0.01,0.25,0.19,0.00,10.19,-1.50,-18.56,4.12,-9.06,1.31,1.00,0.01,0.08,-0.04,2020,8,2,0,2,6,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,1,0,0,a,-43.66,22.03,a,-39.46,21.05,a,81.54,20.56,a,-36.30,20.95,fin
112,1070.00,21.51,915.82,61.12,21.58,914.95,30024,-1.53,0.37,9.59,0.00,0.11,-0.08,-0.88,0.12,-0.06,10.19,-1.19,-18.25,4.12,-9.00,1.50,1.00,0.02,0.08,-0.04,2020,8,2,0,2,8,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,1,1,0,0,a,-45.77,22.03,a,-40.51,21.05,a,83.65,20.56,a,-36.30,20.95,fin
113,1060.00,21.52,915.76,60.93,21.58,914.93,30029,-1.49,0.25,9.68,0.01,-0.01,0.00,0.00,0.25,0.06,14.19,1.00,-28.19,4.12,-8.81,1.56,1.00,0.02,0.08,-0.04,2020,8,2,0,2,9,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-43.66,22.03,a,-39.46,21.05,a,79.44,20.56,a,-36.30,20.95,fin
114,1050.00,21.54,915.78,60.77,21.59,914.93,30025,-1.46,0.29,9.67,0.04,0.02,-0.01,0.19,-0.25,0.00,13.88,0.69,-27.00,4.12,-8.81,1.56,1.00,0.02,0.08,-0.04,2020,8,2,0,2,10,0.0000000,0.0000000,-17.00,0.00,0.00,0.00,0,0,0,0,a,-43.66,22.03,a,-42.61,21.05,a,78.39,20.56,a,-37.35,20.95,fin
